num_doc,wiki_text,viki_text
103,Police vehicles are usually marked with appropriate logos and are equipped with sirens and flashing light bars to aid in making others aware of police presence.,They drive marked cars with warning lights and sirens (makes sound to warn people).
105,Its students and teachers played a central role in the rise of Bengali nationalism and the independence of Bangladesh.,Its students and teachers played a central role in the rise of Bengali nationalism and the independence of Bangladesh in 1971.
106,A new krone was introduced as the currency of Denmark in January 1875.,The Danish krone is introduced in 1875.
106,"Denmark has not introduced the euro, following a rejection by referendum in 2000, but the Danish krone is pegged closely to the euro in ERM II, the EU's exchange rate mechanism.","Adopting the euro is favoured by many parties, but a referendum in 2000 showed 53% of the Danes didn't want to join the Eurozone."
106,"One krone is subdivided into 100 øre (; singular and plural), the name øre possibly deriving from Latin aureus meaning ""gold coin"", or more plausibly from Latin as, pl aeres, meaning ""bronze coin"", from aes, aeris, ""bronze"".",One krone is divided into 100 øre.
106,"The currency is sometimes referred to as the Danish crown in English, since krone literally means crown.",Krone (plural kroner) means literally crown.
106,"The krone (; plural: kroner; sign: kr.; code: DKK) is the official currency of Denmark, Greenland, and the Faroe Islands, introduced on 1 January 1875.","The Danish krone (kr.) is the currency of Denmark, including the Faroe Islands and Greenland."
108,"Edward was the son of Henry VIII and Jane Seymour, and England's first monarch to be raised as a Protestant.",He did much to reform the Protestant Church of England. Edward was the son of Henry VIII of England and Jane Seymour.
108,"In February 1553, at age 15, Edward fell ill.",Edward died at age 15.
112,The Gregorian calendar reforms made slight changes to the system for determining which years were leap years and thus contained a 29-day February.,"The month has 28 days, but in a leap year one day is added, making 29 days."
114,Eoin Colfer (; born 14 May 1965) is an Irish author of children's books.,"Eoin Colfer (14 May 1965, Wexford, Ireland)."
114,"He attained worldwide recognition in 2001, when the first Artemis Fowl book was published and became a New York Times Best Seller, as did some sequels.",His first book Benny and Omar was published in 1998. The first Artemis Fowl book was published and became a New York Times best seller in October 2009.
114,He is best known for being the author of the Artemis Fowl series.,He is a famous writer who created Iron Man and Artemis Fowl.
114,Marvel Comics contracted with Colfer in 2015 to write a young adult novel and in October 2016 Colfer released Iron Man: The Gauntlet.,"In October 2016, in a contract with Marvel Comics, he realised Iron man: the Gauntlet"
118,Adult king cobras are long.,The king cobra is a carnivore.
118,Distribution and habitat The king cobra has a wide distribution in South and Southeast Asia.,Distribution of the king cobra
118,"It can be easily irritated by closely approaching objects or sudden movements. When raising its body, the king cobra can still move forward to strike with a long distance, and people may misjudge the safe zone.","When threatened, the king cobra rises up to one third of its length and may sway."
119,"Inkscape supports importing and pasting of PNG, JPEG and BMP.",Inkscape is a free image editing software.
120,"It became the first Disney Channel series to create a spin-off, Cory in the House, which followed her younger brother, Cory, as his dad became the head chef for the President of the United States, causing the two of them to move to Washington, D.C.","For this series was also created the first Disney Channel spin-off series, Cory in the House."
120,"Raven Baxter, a teenage girl, receives psychic visions of future events when in deep situations.","The TV series is starring by Raven Symoné as Raven Baxter, a teenage girl with psychic powers."
120,"That's So Raven was the highest-rated program on Disney Channel during its initial run, and was the first series in the network's history to produce 100 episodes.",That's So Raven is an AmericanTVsitcom broadcast by Disney Channel.
121,Multiplication can also be visualized as counting objects arranged in a rectangle (for whole numbers) or as finding the area of a rectangle whose sides have given lengths.,Multiplication is a way to make it easier then addition for calculating a lot of times the same number.
121,The inverse operation of multiplication is division.,The opposite of multiplication is division.
122,"""Historians' Forum: The First Battle of Bull Run.""","""First Battle of Bull Run"" by Kurz & Allison"
124,Construction took place between 1792 and 1800 using Aquia Creek sandstone painted white.,It was built between 1792 and 1800.
124,"On Saturday, November 1, 1800, John Adams became the first president to take residence in the building.",It has been the residence of every U.S. president since John Adams in 1800.
124,The White House is the official residence and workplace of the president of the United States.,"The White House is a building in Washington, D.C. where the president of the United States lives."
124,The residence was designed by Irish-born architect James Hoban in the neoclassical style.,The house was designed by Irish-born architect James Hoban.
125,"Origin The name is composed of two word-forming elements: , relating to a term or terms.","Is follows the binomial nomenclature, that is to say the name of a species is made of two parts: one indicating the genus and one indicating the species."
125,"The adoption by biologists of a system of strictly binomial nomenclature is due to Swedish botanist and physician Carl von Linné, more commonly known by his Latinized name Carl Linnaeus (1707-1778).","The person who popularized this system for use was Swedishbotanist and physicianCarolus Linnaeus (1707-1778) who tried to name all things in the natural world and gave every species (animal, vegetable or mineral) that he knew a two-part name."
125,The full binomial name must be unique within a kingdom.,The genus name must be unique inside each group of life.
125,"The second part of the name, which identifies the species within the genus, is also treated grammatically as a Latin word. It can have one of a number of forms:","This is why the name of a species is sometimes called its ""Latin name,"" but scientists like calling these names scientific names."
125,"The value of the binomial nomenclature system derives primarily from its economy, its widespread use, and the uniqueness and stability of names it generally favors:","The value of the binomial nomenclature comes from its economy, its widespread use, and the uniqueness and stability of names in the system."
125,"These include: * Latin, either classical or medieval. Thus, both parts of the binomial name Homo sapiens are Latin words, meaning ""wise"" (sapiens) ""human/man"" (Homo). * Classical Greek.","Often they are Latin words, but they may also come from Ancient Greek, from a place, from a person, a name from a local language, etc."
126,"Pseudoscience is differentiated from science because - although it claims to be science - pseudoscience does not adhere to accepted scientific standards, such as the scientific method, falsifiability of claims, and Mertonian norms.",Pseudoscience is when people pretend that something unscientific is scientific.
128,Bears are carnivoran mammals of the family Ursidae.,Bear Bears are carnivorous mammals.
128,"The family Ursidae is one of nine families in the suborder Caniformia, or ""doglike"" carnivorans, within the order Carnivora.",Their family name is Ursidae.
128,"They occur in a range of habitats which include tropical lowland rainforest, both coniferous and broadleaf forests, prairies, steppes, montane grassland, alpine scree slopes, Arctic tundra and in the case of the polar bear, ice floes.","The bears live in the tropics, in the Balkan forests, and in the Antarctic."
129,It has since been introduced in many other parts of the world and has become feral in some areas.,"It is a domestic fowl in many other parts of the world, and sometime a feral animal."
129,"Peafowl are best known for the male's extravagant display feathers which, despite actually growing from their back, are thought of as a tail.","The male peafowls (called peacocks) have long, colourful feathers."
129,The chicks are nidifugous and follow the mother around after hatching.,"Once the chicks are hatched, the mother leads them away from the broken eggs, as the smell of the eggs attracts predators."
129,The eggs take about 28 days to hatch.,"She lays from two to six eggs in the spring time and, once all are laid, sits on the eggs for about thirty days to hatch them, leaving the nest once or twice a day to feed and drink."
129,The tail itself is brown and short as in the peahen.,"Female peafowls (called peahens) have shorter, brown feathers."
130,"Romanian (dated Rumanian or Roumanian; autonym: limba română , ""the Romanian language"", or românește, lit. ""in Romanian"") is a Balkan Romance language spoken by approximately 24-26 million people as a native language, primarily in Romania and Moldova, and by another 4 million people as a second language.","Romanian, Rumanian or Roumanian (română) is a language spoken by 24 to 26 million people as native language and by another 4 million as foreign language."
130,"Romanian is an official or administrative language in various communities and organisations, such as the Latin Union and the European Union.","For Romania is an official EU member state, Romanian is one of the official languages of the European Union."
131,"Although d'Artagnan is not able to join this elite corps immediately, he befriends the three most formidable musketeers of the age - Athos, Porthos and Aramis, ""the three inseparables"", as these are called - and gets involved in affairs of the state and court. In genre, The Three Musketeers is primarily a historical and adventure novel. However, Dumas also frequently works into the plot various injustices, abuses, and absurdities of the old regime, giving the novel an additional political aspect at a time when the debate in France between republicans and monarchists was still fierce.",The Three Musketeers is a novel by Alexandre Dumas.
131,The story of d'Artagnan is continued in Twenty Years After and The Vicomte of Bragelonne: Ten Years Later.,The novel was followed by two sequels: Twenty Years After and The Vicomte of Bragelonne: Ten Years Later.
131,"The story was first serialised from March to July 1844, during the July Monarchy, four years before the French Revolution of 1848 violently established the Second Republic.",It was first published in serial form in the newspaper Le Siècle between March and July 1844.
132,"Ancient remains from the Hellenic port are displayed in the adjacent archeological gardens, the Jardin des Vestiges.","-The Jardin des Vestiges (Garden of Vestiges), where there are the remains of the port where the Greeks landed"
132,"Marseille is now France's largest city on the Mediterranean coast and the largest port for commerce, freight and cruise ships.","Marseille is the largest city in southern France, the provincial capital of Provence-Alpes-Côte d'Azur and the department of Bouches-du-Rhône, as well as the first port of France, sixth of the Mediterranean and at the European level."
132,Marseille is the second-largest city in France after Paris and the centre of the third-largest metropolitan area in France after Paris and Lyon.,"Considering the number of inhabitants of the municipality alone, it appears to be the second largest city in France, after Paris."
132,"The Old Port or Vieux-Port, the main harbour and marina of the city.","The Vieux Port (Old Port), around which the city developed over the centuries."
132,"The islands of the Frioul archipelago in the Bay of Marseille, accessible by ferry from the Old Port. The prison of Château d'If was one of the settings for The Count of Monte Cristo, the novel by Alexandre Dumas.","-The Castle of If (the Château d'If), former prison located on an island in front of Marseille where the Count of Montecristo"
133,"Sir Philip Pullman, CBE, FRSL (born 19 October 1946) is an English novelist.",Philip Pullman is a children and adults novelist. He was born in England in 1946.
133,"The family travelled with his father's job, including to Southern Rhodesia, though most of his formative years were spent in Llanbedr in Ardudwy, North Wales.",His family moved many times during his childhood and settled for some years in Rhodesia.
134,"Cities Twelve million people live along Lake Michigan's shores, mainly in the Chicago and Milwaukee metropolitan areas.","Major cities on the shore of the lake include Chicago, Illinois and Milwaukee, Wisconsin, and for that reason, it is a popular place for various ships which need the access to the heartland best granted at Chicago."
134,It is the sole Great Lake wholly within the borders of the United States; the others are shared with Canada.,"It is the only one of the Great Lakes claimed solely by the United States, and is cut off from the other lakes at the Mackinaw Bridge."
134,"Lake Michigan is shared, from west to east, by the U.S. states of Wisconsin, Illinois, Indiana, and Michigan.","Lake Michigan is bounded by Michigan to the north and east, Indiana to the south, Illinois to the southwest, and Wisconsin to the west."
135,"Arabic, like all other Semitic languages (except for the Latin-written Maltese, and the languages with the Ge'ez script), is written from right to left.",Arabic is a Semitic language written from right to left.
137,"Although modern Greeks still use their ancient names for the planets, other European languages, because of the influence of the Roman Empire and, later, the Catholic Church, use the Roman (Latin) names rather than the Greek ones. The Romans, who, like the Greeks, were Indo-Europeans, shared with them a common pantheon under different names but lacked the rich narrative traditions that Greek poetic culture had given their gods.","The planets in the Solar System have names of Greek or Roman gods, apart from Earth, because people did not think Earth was a planet in old times."
137,"Solar System There are eight planets in the Solar System, which are in increasing distance from the Sun:",Here is a list of planets in the Solar System.
138,Death at the Battle of Bosworth Field,He was killed at the Battle of Bosworth Field.
138,"Following a decisive Yorkist victory over the Lancastrians at the Battle of Tewkesbury, Richard married Anne Neville, the younger daughter of the Earl of Warwick, on 12 July 1472.",Richard married Anne Neville.
138,"Henry Tudor succeeded Richard to become Henry VII and sought to cement the succession by marrying the Yorkist heiress Elizabeth of York, Edward IV's daughter and Richard III's niece.",Richard III was followed to the throne by Henry Tudor as Henry VII of England.
138,Richard III was the last English king to be killed in battle.,He was the last English king to die in battle.
140,"Ambergris, a solid, waxy, flammable substance produced in the digestive system of sperm whales, was also sought as a fixative in perfumery.","Ambergris, a waste product from the whale's digestive system, is still used as a fixative in perfumes."
140,"At birth both sexes are about the same size, but mature males are typically 30% to 50% longer and three times as massive as females.","Mature males average 16 metres (52 ft) in length but some may reach 20.5 metres (67 ft), with the head representing up to one-third of the animal's length."
140,"Females and their young remain in groups,",Females and young males live together in groups.
140,"Individual large mature male sperm whales have no non-human predators, and are believed to be too large, powerful and aggressive to be threatened by killer whales.",A mature sperm whale has few natural predators.
140,Sperm whales are among the most cosmopolitan species.,The sperm whale is one of the deepest diving of all sea creatures.
140,"The sperm whale is the largest toothed whale, with adult males measuring up to long and weighing up to .",The sperm whale (scientific name : Physeter macrocephalus) is the largest of the toothed whales and the largest toothed predator.
140,"The sperm whale's lower jaw is very narrow and underslung. The sperm whale has 18 to 26 teeth on each side of its lower jaw which fit into sockets in the upper jaw. The teeth are functional, but do not appear to be necessary for capturing or eating squid, as well-fed animals have been found without teeth or even with deformed jaws. One hypothesis is that the teeth are used in aggression between males.","The sperm whale feeds primarily on squid, plunging up to 2,250 metres (7,380 ft) for prey."
140,Their clicks are among the most powerful sounds in the animal kingdom (see above).,They are the loudest sound produced by any animal.
140,"When dealing with a threat, sperm whales will use their huge head effectively as a battering ram.",Occasionally the sperm whale's great size allowed it to defend itself effectively against whalers.
141,"He continued to pilot the Planter, serving a humanitarian mission of taking food and supplies to freedmen who lost their homes and livelihoods during the war.","Later in the war, he became the captain of the Planter."
142,"By the age of nine, Proust had had his first serious asthma attack, and thereafter he was considered a sickly child.","Proust was in bad health. Since he was nine, he'd suffered from asthma and was very sensitive to the environment around him."
142,"Personal life Proust is known to have been homosexual, and his sexuality and relationships with men are often discussed by his biographers.","During his lifetime, Proust discovered that he was homosexual, although he always managed to keep this hidden from the public."
142,"Proust's mother, Jeanne Clémence (Weil), was the daughter of a wealthy Jewish family from ) and later confirmed as a Catholic, but he never formally practised that faith.",Proust came from a Jewish family.
144,Below are some definitions of fermentation.,Other meaning of fermentation
144,"For example, fermentation is used for preservation in a process that produces lactic acid found in such sour foods as pickled cucumbers, kimchi, and yogurt, as well as for producing alcoholic beverages such as wine and beer.","In general, the product of fermentation is easier to digest, can be preserved for longer, or produces a desirable molecule, like alcohol in the case of alcoholic fermentation."
144,"In the context of food production, it may more broadly refer to any process in which the activity of microorganisms brings about a desirable change to a foodstuff or beverage. The science of fermentation is known as zymology.","Fermentation is the transformation of some organic substances by microorganisms generally called fermentors, each type of fermentor acts on a certain substance and produces its own fermentation."
144,"It is used to make bread dough rise: the carbon dioxide forms bubbles, expanding the dough into a foam.","We put yeast in bread dough to inflate it and to make it lighter, because fermentation creates carbon dioxide and makes it spongy."
144,It occurs in the muscles of animals when they need energy faster than the blood can supply oxygen.,"When the request of energy is urgent, the muscle doesn't have sufficient oxygen, and glucose fermentation produces lactic acid."
147,Her death resulted from shotgun wounds to the back and neck and in the shoulder and face.,"She died from shotgun wounds to her back, neck, shoulder, and face."
147,"However, another story says that there were no witnesses and that no one ever was convicted of the murder.",There were no witnesses. No one was ever convicted of the murder.
147,"In fact, she knew the Youngers and the James boys because she had grown up with them in Missouri.","When her family moved to Texas, she became friendly with Jesse James and the Younger Brothers."
148,"Created sometime between 130 and 100 BC, the statue is believed to depict Aphrodite, the Greek goddess of love and beauty.","In ancient Greece, Aphrodite was the goddess of love and beauty."
148,"In Disney's Hercules, there is a scene where Hercules skips a stone and accidentally breaks off both arms.","In this movie, Hercules accidentally breaks off the statue's arms while skipping a rock on the water."
148,"Notwithstanding these anomalies, the consensus is that the statue was found in two large pieces (the upper torso and the lower draped legs) along with several herms (pillars topped with heads), fragments of the upper left arm and left hand holding an apple, and an inscribed plinth.",The statue once held an apple in her left hand. Fragments of the upper left arm and hand were found at the time of discovery.
148,Part of an arm and the original plinth were lost following the statue's discovery.,This base was lost shortly after the statue's discovery.
148,"The Venus de Milo (, Aphroditi tis Milou) is an ancient Greek statue and one of the most famous works of ancient Greek sculpture.",Venus de Milo The Venus de Milo is an ancient Greek marble statue that stands 203 cm (6 ft 8 in) tall.
150,"Although the Byzantines regrouped and recovered somewhat, they never fully regained Asia Minor and were often on the defensive. The Turks also had difficulties, losing control of Jerusalem to the Fatimids of Egypt and suffering from a series of internal civil wars. The Byzantines also faced a revived Bulgaria, which in the late 12th and 13th centuries spread throughout the Balkans.","The Byzantine empire controlled Asia Minor, Southern Spain, Northern Africa and sometimes southern Italy but its lands were slowly eaten away by enemies like the Turks and the Franks."
150,"The Middle Ages is the middle period of the three traditional divisions of Western history: classical antiquity, the medieval period, and the modern period.",The 'Middle Ages' are called this because it is the time between the fall of Imperial Rome and the beginning of the Early modern Europe.
150,"The formal break, known as the East-West Schism, came in 1054, when the papacy and the patriarchy of Constantinople clashed over papal supremacy and excommunicated each other, which led to the division of Christianity into two Churches-the Western branch became the Roman Catholic Church and the Eastern branch the Eastern Orthodox Church.","For the most part they were Christians, but divided after the schism of 1054 into Catholics in the west, center and south of Europe, and the Orthodox in the east and southeast."
157,"The theatre of ancient Greece consisted of three types of . The origins of theatre in ancient Greece, according to Aristotle (384-322 BCE), the first theoretician of theatre, are to be found in the festivals that honoured Dionysus.",But the form of theater that is known today was born in ancient Greece (see Theatre of ancient Greece).
158,"Alexander Fyodorovich Kerensky ( ; , ; original spelling: ; - 11 June 1970) was a Russian lawyer and revolutionist who was a key political figure in the Russian Revolution of 1917.",Aleksandr Fedorovich Kerensky (1881-1970) was a Russian and Soviet politician.
158,"Following the Kornilov Affair, an attempted military coup d'état at the end of August, and the resignation of the other ministers, he appointed himself Supreme Commander-in-Chief as well.",Following the failed coup of General Kornilov in August and the resignation of the ministers he appointed himself Supreme Commander-in-Chief as well.
158,His troops managed to capture Tsarskoe Selo but were beaten the next day at Pulkovo.,When the Bolshevik's took control in October he fled to Pskov and after an attempt to overthrow the Bolsheviks (troops under his direction captured Tsarskoe Selo on 28 October but were defeated the next day at Pulkovo)
159,"The gram, 1/1000 of a kilogram, was provisionally defined in 1795 as the mass of one cubic centimetre of water at the melting point of ice.",1 gram is 1 thousandth of a kilogram.
161,"*Ojibwe tribes, as well as their Aboriginal Canadian counterparts, used an owl as a symbol for both evil and death.",Native Americans and other peoples regard the owl as an ill omen.
161,"Owls are part of a small group of birds that live nocturnally, but do not use echolocation to guide them in flight in low-light situations. Owls are known for their disproportionally large eyes in comparison to their skulls. An apparent consequence of the evolution of an absolutely large eye in a relatively small skull is that the eye of the owl has become tubular in shape.","Owls have an upright stance, a large, broad head, binocular vision and binaural hearing, and feathers adapted for silent flight."
161,The modern West generally associates owls with wisdom and vigilance.,The owl has long been a representative of learning and knowledge.
162,"Because his finances had improved and were now sufficient to support a family, he received permission to marry his fiancée, Sara Elisabeth Moræa. Their wedding was held 26 June 1739.",He was married in 1739 with Sara Elisabeth Morea.
162,"Carl Linnaeus (; 23 May (), was a Swedish botanist, zoologist, and physician who formalised binomial nomenclature, the modern system of naming organisms.","Carl Linnaeus Carolus Linnaeus or Carl Linnaeus was a Swedish botanist, physician and zoologist."
162,"Three months later, he moved to Stockholm to find employment as a physician, and thus to make it possible to support a family.",He then returned to Sweden where he practiced medicine in Stockholm.
163,"In his libretto, Jennens's intention was not to dramatise the life and teachings of Jesus, but to acclaim the ""Mystery of Godliness"",","Jennens' intention was not to dramatize the life and teachings of Jesus, but to acclaim the ""Mystery of Godliness""."
163,It was first performed in Dublin on 13 April 1742 and received its London premiere nearly a year later.,Its London premiere followed in 1743.
163,"Seven hundred people attended the premiere on 13 April. The takings amounted to around £400, providing about £127 to each of the three nominated charities and securing the release of 142 indebted prisoners.",Enough money was raised at the performance to free 142 indebted prisoners.
163,The music for Messiah was completed in 24 days of swift composition.,"The music was completed in 24 days, and many of its numbers are well known away from the oratorio."
163,"The three charities that were to benefit were prisoners' debt relief, the Mercer's Hospital, and the Charitable Infirmary.","This performance was a benefit for three charities: prisoners' debt relief, the Mercer's Hospital, and the Charitable Infirmary."
164,"A referendum in 2016 resulted in 51.9% of the turnout being in favour of leaving the EU, which is currently scheduled to take place on or before 31 January 2020.","The 2016 referendum opened the door to a Brexit, the leaving of the EU by the UK. On 31 January 2020, the country left the Union."
164,"Although the United Kingdom is a sovereign country, England, Scotland, Wales and Northern Ireland are also widely referred to as countries.","As the name sais, the United Kingdom is a collection of former countries."
164,"Britain fought alongside France, Russia and (after 1917) the United States, against Germany and its allies in the First World War (1914-1918).","The United Kingdom got involved with the First World War in 1915 and fought alongside France, Russia and the United States against Germany, Austria-Hungary and Italy."
164,Four indigenous Celtic languages are spoken in the UK:,There are still some Celtic languages spoken in the United Kingdom.
164,"In 1960 the UK was one of the seven founding members of the European Free Trade Association (EFTA), but in 1973 it left to join the European Communities (EC). When the EC became the European Union (EU) in 1992, the UK was one of the 12 founding members.",The UK joined the European Union in 1973.
164,"In 2014 the Scottish Government held a referendum on Scottish independence, with 55.3 per cent of voters rejecting the independence proposal and opting to remain within the United Kingdom.","In 2014, a referendum for an independent Scotland was held, but Scotland choose to stay in the UK."
164,"In 2016, 51.9 per cent of voters in the United Kingdom voted to leave the European Union.","After the 2016 referendum, it became clear the UK was the first country to leave the European Union."
164,"It has been a leading member state of the European Union (EU) and its predecessor, the European Economic Community (EEC), since 1973.","From 1973 to 2020, the United Kingdom was a member state of the European Union."
164,Most British literature is in the English language.,"The UK has a big music industry, probably due to the English language which a lot of people can understand."
164,Northern Ireland remained part of the United Kingdom.,Northern Ireland stood in the United Kingdom and it changed its official name to the current one.
164,"The Irish Free State became independent, initially with Dominion status in 1922, and unambiguously independent in 1931.","In 1922, Ireland became independent after the Irish Civil War."
164,"The United Kingdom is also a member of the Commonwealth of Nations, the Council of Europe, the G7, the G20, NATO, the Organisation for Economic Co-operation and Development (OECD), Interpol and the World Trade Organization (WTO). Etymology and terminology",The United Kingdom also helped form NATO (North Atlantic Treaty Organization).
164,"The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom (U.K. or UK) or Britain, is a sovereign country located off the northwestern coast of the European mainland.",The United Kingdom (UK) is a country in north-western Europe.
164,"The United Kingdom's capital and largest city is London, a global city and financial centre with an urban area population of 10.3 million.",The capital of the country is London in England.
164,"The legal process of leaving the EU began on 29 March 2017, with the UK's invocation of the Treaty on European Union, formally notifying the EU of the UK's intention to leave.","On 31 January 2020, the United Kingdom leaves the Union."
164,"Welsh, Irish, Scottish Gaelic and, as a second language only, Cornish.","Scottish Gaelic is spoken in the north of Scotland, Welsh in Wales and Irish in Northern Ireland."
166,"In English common law, an outlaw was a person who had defied the laws of the realm, by such acts as ignoring a summons to court, or fleeing instead of appearing to plead when charged with a crime. Criminal","An outlaw or bandit is a person who is ""outside the law"" usually because they have committed serious crimes."
166,"The term outlawry referred to the formal procedure of declaring someone an outlaw, i.e. putting him outside the sphere of legal protection.","A longtime criminal can be declared an outlaw, which means the outlaw cannot use the legal system to protect himself if needed."
167,"He was one of the first 19th-century artists to paint modern life, and a pivotal figure in the transition from Realism to Impressionism.",He is credited with initiating the Impressionist movement in art.
167,"Édouard Manet (, , ; 23 January 1832 - 30 April 1883) was a French modernist painter.",Édouard Manet (23 January 1832 - 30 April 1883) was a French painter.
168,"Akihito (明仁) was born on 23 December 1933 (am 6:39) in the Tokyo Imperial Palace, Tokyo, Japan as the fifth child and the eldest son of the Emperor Shōwa (father; Hirohito) and the Empress Kōjun (mother; Nagako), they had seven children, two sons and five daughters as their parents.","Akihito, (明仁 in Japanese) (born December 23, 1933, Tokyo) was the emperor of Japan (1989-2019)."
168,"On 8 June 2017, the National Diet passed a one-off bill allowing Akihito to abdicate, and for the government to begin arranging the process of handing over the position to Crown Prince Naruhito. The Japanese government announced in December 2017 that Akihito would abdicate on 30 April 2019, and that Naruhito's reign would begin as of 1 May 2019.","He abdicated in 2019, and his eldest son Naruhito became the new emperor of Japan."
171,"As the '80s were ending, more and more collectors started to surface, buying up the toys to keep in their original packaging for display purposes and for future collectability.",By the 1990s action figures became toys for adults as well but for the use of collecting and value.
171,G.I. Joe was initially a military-themed 11.5-inch figure proposed by marketing and toy idea-man Stan Weston.,G.I. Joe created by Stan Weston.
171,"In 1984, Hasbro licensed Micro Change and another Takara line, the Diaclone transforming cars, and combined them in the US as the Transformers, spawning a still-continuing family of animated cartoons.","Hasbro got the idea for the Transformers we know today from a cartoon in Japan and brought it to the United States in 1984, cartoon episodes and then action figures soon came along."
171,"Once all design details have been finalized, the prototype is used to make the molds that will form the plastic pieces for the mass-produced figure.","When a figure is approved, it gets molded from a plastic."
171,"Once the character has been selected, the actual design process begins with sketches of the proposed figure.",Making an action figure starts with the idea and drawing.
171,"The 1980s spawned all sorts of popular action figure lines, many based on cartoon series, which were one of the largest marketing tools for toy companies.","In the 1980s, the need for action figures got bigger with all the cartoons that started on TV."
171,"The term ""action figure"" was first coined by Hasbro in 1964, to market their G.I. Joe figure to boys who refused to play with ""dolls"", a term primarily associated as a girl's toy.",The company Hasbro in 1964 came up with a new toy they called an action figure.
171,"These kinds of action figure are mainly intended as statuesque display pieces rather than toys. Child-oriented lines such as the Masters of the Universe revival and Justice League Unlimited, however, still evoke adult collector followings as well.","These are commonly intended as display pieces rather than toys; however, child-oriented lines such as the Masters of the Universe revival and Justice League Unlimited still get adult collector followings as well."
173,"Because Neptune was the Roman god of the sea, Neptune's moons have been named after lesser sea gods.",Neptune is named after the Greek God Poseidon.
173,"It is named after the Roman god of the sea and has the astronomical symbol ♆ came out in favour of the name Neptune on 29 December 1846, to the Saint Petersburg Academy of Sciences.","It was named after Neptune, a god in Roman mythology."
173,Neptune is the eighth and farthest known planet from the Sun in the Solar System.,Neptune is a planet in the Solar System. It is the eighth-closest and farthest planet from the Sun.
173,"Triton is the largest Neptunian moon, comprising more than 99.5% of the mass in orbit around Neptune, and it is the only one massive enough to be spheroidal. Triton was discovered by William Lassell just 17 days after the discovery of Neptune itself.","Neptune's largest moon, Triton, was discovered just 17 days after Neptune itself was discovered."
174,"By the early 1670s, as the English developed sugar cane plantations worked by large numbers of slaves, black Africans formed a majority of the population. The Irish in Jamaica also formed a large part of the island's early population, making up two-thirds of the white population on the island in the late 17th century, twice that of the English population.","During the early 1800s, black slaves outnumbered white people by about 20 to 1, and because of this most people in Jamaica even today are black people."
174,"Christopher Columbus was the first European to see Jamaica, claiming the island for Spain after landing there in 1494 on his second voyage to the Americas.","Christopher Columbus came to the island in 1494, and claimed it as a colony for Spain."
174,"Humans have inhabited Jamaica from as early as 4000 - 1000 BC, however little is known of these early peoples. Another group, known as the 'Redware people' after their pottery, arrived circa 600 AD, followed by the Arawak-Taíno circa 800 AD, who most likely came from South America.","Before Europeans came to the Americas, Jamaica's population was mostly from the native Arawak and Taino peoples."
174,Jamaica () is an island country situated in the Caribbean Sea.,Jamaica Jamaica is an island country in the Caribbean.
174,Jamaica is a parliamentary democracy and constitutional monarchy.,"As a former British colony, Jamaica has the British monarch, Elizabeth II, as queen, and uses a system of government similar to the United Kingdom's."
174,"Jamaica lies about south of Cuba, and west of Hispaniola (the island containing the countries of Haiti and the Dominican Republic); the British Overseas Territory of the Cayman Islands lies some to the north-west.","Cuba is located to the north, the island of Hispaniola (which is divided between Haiti and the Dominican Republic) is located to the east, and Mexico and the countries of Central America are located to the west. Jamaica's capital is Kingston."
174,"Languages Jamaica is regarded as a bilingual country, with two major languages in use by the population.",The main languages of Jamaica are English (which has its own Jamaican dialect) and Jamaican Patois.
174,"Other religions in Jamaica include Jehovah's Witnesses (2% population), the Bahá'í faith, which counts perhaps 8,000 adherents and 21 Local Spiritual Assemblies, Mormonism, Buddhism, and Hinduism.","About 70% of Jamaicans are Protestants, and other Christians make up most of the rest of the population."
174,"Politically it is a Commonwealth realm, with Elizabeth II as its queen.","Because of this, Jamaica is a member of the Commonwealth and still has the British monarch, Elizabeth II, as queen."
174,Spain later recognised English possession of the island with the Treaty of Madrid (1670).,England (which later became Great Britain) conquered the island from Spain in 1655.
175,"After a visit by Adolf Hitler, Bruno's father is promoted to Commandant, and the family has to move to ""Out-With"" because of the orders of ""The Fury"" (Bruno's naïve interpretation of the word ""Führer"").","After a visit of Adolf Hitler, Bruno's father is promoted commandant."
175,"As he walks along the fence, he meets a Jewish boy named Shmuel, who he learns shares his birthday.","As he walks alongs the fence, he meets a Jewish boy named Shmuel and...."
176,Niger or Niger State is a state in Central Nigeria and the largest state in the country.,"Niger State Niger State is one among the 36 states of Nigeria formed in 1976. It is situated in the North Central geo-political zone with the largest landmass covering 86,000km."
176,"The state capital is Minna, and other major cities are Bida, Kontagora, and Suleja.","The state has 25 local government areas with Minna as its state capital having major cities which are Bida, Kontagora, and Suleja."
178,"Association football, more commonly known as football or soccer, is a team sport played with a spherical ball between two teams of eleven players.","Association football Association football, also called soccer, is a team sport."
178,"It is played by 250 million players in over 200 countries and dependencies, making it the world's most popular sport.","Association football is currently the most popular sport in the world, with over 250 million registered players worldwide."
178,"Players in these positions are referred to as outfield players, to distinguish them from the goalkeeper.","One of the players on a team is the goalkeeper, and the other ten are known as ""outfield players""."
178,The object of the game is to score by moving the ball beyond the goal line into the opposing goal.,The goal of the sport is to kick a ball into the other team's goal.
